id;kode_provinsi;nama_provinsi;persentase_penduduk_miskin;tahun
130;36;BANTEN;6.16;2022
131;51;BALI;4.57;2022
132;52;NUSA TENGGARA BARAT;13.68;2022
133;53;NUSA TENGGARA TIMUR;20.05;2022
134;61;KALIMANTAN BARAT;6.73;2022
135;62;KALIMANTAN TENGAH;5.28;2022
136;63;KALIMANTAN SELATAN;4.49;2022
137;64;KALIMANTAN TIMUR;6.31;2022
138;65;KALIMANTAN UTARA;6.77;2022
139;71;SULAWESI UTARA;7.28;2022
140;72;SULAWESI TENGAH;12.33;2022
141;73;SULAWESI SELATAN;8.63;2022
142;74;SULAWESI TENGGARA;11.17;2022
143;75;GORONTALO;15.42;2022
144;76;SULAWESI BARAT;11.75;2022
145;81;MALUKU;15.97;2022
146;82;MALUKU UTARA;6.23;2022
147;91;PAPUA BARAT;21.33;2022
148;92;PAPUA BARAT DAYA;0;2022
149;94;PAPUA;26.56;2022
150;95;PAPUA SELATAN;0;2022
151;96;PAPUA TENGAH;0;2022
152;97;PAPUA PEGUNUNGAN;0;2022
153;11;ACEH;14.45;2023
154;12;SUMATERA UTARA;8.15;2023
155;13;SUMATERA BARAT;5.95;2023
156;14;RIAU;6.68;2023
157;15;JAMBI;7.58;2023
158;16;SUMATERA SELATAN;11.78;2023
159;17;BENGKULU;14.04;2023
160;18;LAMPUNG;11.11;2023
161;19;KEPULAUAN BANGKA BELITUNG;4.52;2023
162;21;KEPULAUAN RIAU;5.69;2023
163;31;DKI JAKARTA;4.44;2023
164;32;JAWA BARAT;7.62;2023
165;33;JAWA TENGAH;10.77;2023
166;34;DI YOGYAKARTA;11.04;2023
167;35;JAWA TIMUR;10.35;2023
168;36;BANTEN;6.17;2023
169;51;BALI;4.25;2023
170;52;NUSA TENGGARA BARAT;13.85;2023
171;53;NUSA TENGGARA TIMUR;19.96;2023
172;61;KALIMANTAN BARAT;6.71;2023
173;62;KALIMANTAN TENGAH;5.11;2023
174;63;KALIMANTAN SELATAN;4.29;2023
175;64;KALIMANTAN TIMUR;6.11;2023
176;65;KALIMANTAN UTARA;6.45;2023
177;71;SULAWESI UTARA;7.38;2023
178;72;SULAWESI TENGAH;12.41;2023
179;73;SULAWESI SELATAN;8.7;2023
180;74;SULAWESI TENGGARA;11.43;2023
181;75;GORONTALO;15.15;2023
182;76;SULAWESI BARAT;11.49;2023
183;81;MALUKU;16.42;2023
184;82;MALUKU UTARA;6.46;2023
185;91;PAPUA BARAT;20.49;2023
186;92;PAPUA BARAT DAYA;0;2023
187;94;PAPUA;26.03;2023
188;95;PAPUA SELATAN;0;2023
189;96;PAPUA TENGAH;0;2023
